,location,price,entered,updated,views,link
910,"Block D, Castleforbes Sq, Ifsc, Dublin 1, Dublin City Centre",1750.0,"May 19, 2020",24.07.2020,1760,http://www.daft.ie/dublin/apartments-for-rent/ifsc/block-d-castleforbes-sq-ifsc-dublin-2031204/
911,"Fisherman'S Wharf, Ringsend, Dublin 4, South Dublin City",1750.0,,24.07.2020,702,http://www.daft.ie/dublin/apartments-for-rent/ringsend/fishermans-wharf-ringsend-dublin-2053265/
912,"Kingscourt Apartmentsparnell St, Dublin 1, Dublin City Centre",1750.0,"Jul 06, 2020",24.07.2020,165,http://www.daft.ie/dublin/apartments-for-rent/dublin-1/kingscourt-apartmentsparnell-st-dublin-1-dublin-2047804/
913,"12/13 Eustace Street, Temple Bar, Dublin 2, Dublin City Centre",1750.0,,25.07.2020,695,http://www.daft.ie/dublin/apartments-for-rent/temple-bar/1213-eustace-street-temple-bar-dublin-2024343/
914,"Bon Apartment, Dublin 2, Dublin City Centre",1750.0,,24.07.2020,279,http://www.daft.ie/dublin/apartments-for-rent/dublin-2/bon-apartment-dublin-2-dublin-2051926/
915,"Seagrange Road, Baldoyle, Baldoyle, Dublin 13, North Dublin City",1750.0,,22.07.2020,1606,http://www.daft.ie/dublin/houses-for-rent/baldoyle/seagrange-road-baldoyle-baldoyle-dublin-2050290/
916,"Dominic Street Lower, Dublin 1, Dublin City Centre",1750.0,"Jun 03, 2020",24.07.2020,1678,http://www.daft.ie/dublin/apartments-for-rent/dublin-1/dominic-street-lower-dublin-1-dublin-2035813/
917,"288 Rathmines Road Lower, Rathmines, Dublin 6, South Dublin City",1750.0,"Jul 21, 2020",25.07.2020,208,http://www.daft.ie/dublin/apartments-for-rent/rathmines/288-rathmines-road-lower-rathmines-dublin-2052761/
918,"Fitzwilliam Quay, Ringsend, Dublin 4, South Dublin City",1750.0,"Jul 13, 2020",13.07.2020,536,http://www.daft.ie/dublin/apartments-for-rent/ringsend/fitzwilliam-quay-ringsend-dublin-2050319/
925,"Gandon Hall, Lower Gardiner Street, Dublin 1, Dublin City Centre",1750.0,"Jun 03, 2020",23.07.2020,839,http://www.daft.ie/dublin/apartments-for-rent/dublin-1/gandon-hall-lower-gardiner-street-dublin-1-dublin-2036089/
926,"Parkgate Place, Parkgate Street, Dublin 8, South Dublin City",1750.0,,25.07.2020,257,http://www.daft.ie/dublin/apartments-for-rent/dublin-8/parkgate-place-parkgate-street-dublin-8-dublin-2048386/
927,"59 Kilmainham Bank, Kilmainham, Dublin 8, South Dublin City",1758.0,"Jul 22, 2020",22.07.2020,291,http://www.daft.ie/dublin/apartments-for-rent/kilmainham/59-kilmainham-bank-kilmainham-dublin-2053210/
928,"Apartment 5, 80",1760.0,,22.07.2020,349,http://www.daft.ie/dublin/apartments-for-rent/dublin-1/apartment-5-80-83-summerhill-dublin-1-dublin-2053047/
929,"Merrion Village, Merrion Road, Dublin 4, South Dublin City",1760.0,"Jun 25, 2020",24.07.2020,1091,http://www.daft.ie/dublin/apartments-for-rent/dublin-4/merrion-village-merrion-road-dublin-4-dublin-2043916/
930,"Cabra Park, Dublin 7, North Dublin City",405.0,"Oct 06, 2017",24.07.2020,6340,http://www.daft.ie/dublin/apartments-for-rent/dublin-7/cabra-park-dublin-7-dublin-1779280/
931,"47 Boroimhe Alder, Swords, North Co. Dublin",1768.0,"Jul 20, 2020",23.07.2020,884,http://www.daft.ie/dublin/apartments-for-rent/swords/47-boroimhe-alder-swords-dublin-2052219/
932,"Windmill Lane, Sir John Rogersons Quay, Dublin 2, Dublin 2, Dublin City Centre",1775.0,,22.07.2020,1996,http://www.daft.ie/dublin/apartments-for-rent/dublin-2/windmill-lane-sir-john-rogersons-quay-dublin-2-dublin-2-dublin-2041933/
933,"Ashley Hall, St. Edmunds, Lucan, West Co. Dublin",1775.0,,22.07.2020,1249,http://www.daft.ie/dublin/apartments-for-rent/lucan/ashley-hall-st-edmunds-lucan-dublin-2045918/
934,"Island Key, East Road, East Wall, Dublin 3, North Dublin City",1775.0,"Jul 13, 2020",24.07.2020,1219,http://www.daft.ie/dublin/apartments-for-rent/east-wall/island-key-east-road-east-wall-dublin-2050308/
935,"47 Clontarf Road, Clontarf, Dublin 3, North Dublin City",1775.0,"May 05, 2020",21.07.2020,3875,http://www.daft.ie/dublin/apartments-for-rent/clontarf/47-clontarf-road-clontarf-dublin-2026826/
936,"Flat 4, Dun Laoghaire, South Co. Dublin",1775.0,"Jun 20, 2020",26.07.2020,3251,http://www.daft.ie/dublin/apartments-for-rent/dun-laoghaire/flat-4-dun-laoghaire-dublin-2042179/
