,location,price,entered,updated,views,link
0,"Dorset Point, 107 Dorset Street Upper, Dublin 1",,,20.07.2020,11983,http://www.daft.ie/dublin/multi-units-for-rent/107-dorset-street-upper-dublin-1-dublin-175725/
1,"Brickworks, Brickfield Lane, Dublin 8",,,19.05.2020,2468,http://www.daft.ie/dublin/multi-units-for-rent/brickfield-lane-dublin-8-dublin-179075/
2,"Grangegorman, Grangegorman Lower, Dublin 7",,,20.07.2020,866,http://www.daft.ie/dublin/multi-units-for-rent/grangegorman-lower-dublin-7-dublin-180090/
3,"Highfield Park, 274 North Circular Road, Dublin 7",,,30.06.2020,3390,http://www.daft.ie/dublin/multi-units-for-rent/274-north-circular-road-dublin-7-dublin-180588/
4,Point Campus,,,25.06.2020,3125,http://www.daft.ie/dublin/multi-units-for-rent/mayor-street-upper-dublin-1-dublin-182648/
5,"Aspen Student Life, Ballymun Road, Ballymun, Dublin 9",,,22.05.2020,10320,http://www.daft.ie/dublin/multi-units-for-rent/ballymun-road-ballymun-dublin-174970/
6,"Brickworks, Brickfield Lane, Dublin 8",,,19.07.2020,224,http://www.daft.ie/dublin/multi-units-for-rent/brickfield-lane-dublin-8-dublin-187475/
7,"Highlight Thomas Street, 32 Thomas Street, Dublin 8",,,20.05.2020,6543,http://www.daft.ie/dublin/multi-units-for-rent/32-thomas-street-dublin-8-dublin-175090/
8,From Here,,,20.05.2020,8537,http://www.daft.ie/dublin/multi-units-for-rent/blackhall-place-dublin-7-dublin-175188/
9,"Beckett House, 123 Summerhill, Dublin 1",,,20.07.2020,5723,http://www.daft.ie/dublin/multi-units-for-rent/123-summerhill-dublin-1-dublin-175707/
10,"Highfield House Student Accommodation, Marne Villas, Dublin 7",,,08.07.2020,10469,http://www.daft.ie/dublin/multi-units-for-rent/marne-villas-dublin-7-dublin-177813/
11,"Mayor Street, Mayor Street Upper, Dublin 1",,,20.07.2020,2531,http://www.daft.ie/dublin/multi-units-for-rent/mayor-street-upper-dublin-1-dublin-180089/
12,"Summerhill, Mountjoy, Dublin 1",,,20.07.2020,1664,http://www.daft.ie/dublin/multi-units-for-rent/mountjoy-dublin-1-dublin-180095/
13,"Ardcairn House, 8, Grangegorman Lower, Dublin 7",,,30.06.2020,1106,http://www.daft.ie/dublin/multi-units-for-rent/8-grangegorman-lower-dublin-7-dublin-180650/
14,"Swuite Dublin Student Accommodation, Grangegorman, Dublin 7",,,01.07.2020,1338,http://www.daft.ie/dublin/multi-units-for-rent/grangegorman-dublin-7-dublin-185276/
15,"Highlight Parkgate, 43 Montpelier Hill, Dublin 7",,,20.05.2020,4365,http://www.daft.ie/dublin/multi-units-for-rent/43-montpelier-hill-dublin-7-dublin-175086/
16,From Here,,,19.05.2020,5481,http://www.daft.ie/dublin/multi-units-for-rent/cork-street-dublin-8-dublin-175094/
17,"Binary Hub, Bonham Street, Dublin 8",,,20.07.2020,6805,http://www.daft.ie/dublin/multi-units-for-rent/bonham-street-dublin-8-dublin-175703/
18,"Cardy Rock Drive, Balbriggan, North Co. Dublin",1000.0,"Jul 14, 2020",17.07.2020,1628,http://www.daft.ie/dublin/apartments-for-rent/balbriggan/cardy-rock-drive-balbriggan-dublin-2050626/
19,"Morehampton Rd, Donnybrook, Dublin 4, South Dublin City",1000.0,"Jun 11, 2020",06.07.2020,4905,http://www.daft.ie/dublin/studio-apartments-for-rent/donnybrook/morehampton-rd-donnybrook-dublin-2038949/
